source_id,competition,notebook_slug,notebook_version,source_url,collected_at_utc,license,screening_status,duplicate_group,notes
SRC-001,Regression with a Flood Prediction Dataset,Leohoji/kaggle-competition-flood-prediction-project/flood_prediction.ipynb,f23fdc281550107525e955df817a21ab6451166a,https://github.com/Leohoji/kaggle-competition-flood-prediction-project/blob/f23fdc281550107525e955df817a21ab6451166a/flood_prediction.ipynb,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-001
SRC-002,Classification with an Academic Success Dataset,Osama-Abo-Bakr/ML-Classification-with-an-Academic-Success-Dataset/README.md,0916d5c99870e2af4388bfb9936ee8fb6b6685bc,https://github.com/Osama-Abo-Bakr/ML-Classification-with-an-Academic-Success-Dataset/blob/0916d5c99870e2af4388bfb9936ee8fb6b6685bc/README.md,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-002
SRC-003,Credit Card Fraud Detection,DrushtiV/Credit-Card-Fraud-Detection-/README.md,b58a38c4329f1ecf8dd07727114e5508d48f1696,https://github.com/DrushtiV/Credit-Card-Fraud-Detection-/blob/b58a38c4329f1ecf8dd07727114e5508d48f1696/README.md,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-003
SRC-004,Loan Default Prediction,OleksiyM/Loan-Default-Predictor/LoanDefaultPrediction_v4.ipynb,f795bddfb37d1bfb45bc12c0dc06fe4a6a0905e0,https://github.com/OleksiyM/Loan-Default-Predictor/blob/f795bddfb37d1bfb45bc12c0dc06fe4a6a0905e0/LoanDefaultPrediction_v4.ipynb,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-004
SRC-005,Store Item Demand Forecasting Challenge,jhihan/Store-Item-Demand-Forecasting-Challenge/Store_Item_Demand_Forecasting.ipynb,7b43f6e49f99443290cca4a53b97f01e280d0bd2,https://github.com/jhihan/Store-Item-Demand-Forecasting-Challenge/blob/7b43f6e49f99443290cca4a53b97f01e280d0bd2/Store_Item_Demand_Forecasting.ipynb,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-005
SRC-006,Titanic survival quickstart,vertica/VerticaPy/README.md,05b2882a2a9c8389c4778c84c57077a503e8597a,https://github.com/vertica/VerticaPy/blob/05b2882a2a9c8389c4778c84c57077a503e8597a/README.md,2026-08-21T00:00:00Z,Apache-2.0,verified_case,,MLA-006
SRC-007,COVID Chest X-Ray Classification,govindjeevan/COVID-Chest-X-Ray/README.md,99d3f749e32b321c5bcfa319a21e546f7c6e3598,https://github.com/govindjeevan/COVID-Chest-X-Ray/blob/99d3f749e32b321c5bcfa319a21e546f7c6e3598/README.md,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-007
SRC-008,Titanic Machine Learning,shantnu/Titanic-Machine-Learning/Titanic_Machine_Learning.ipynb,58a4490ec9026f53dc265564063117559c8d8eaa,https://github.com/shantnu/Titanic-Machine-Learning/blob/58a4490ec9026f53dc265564063117559c8d8eaa/Titanic_Machine_Learning.ipynb,2026-08-21T00:00:00Z,not-stated,no_leakage_detected,,Screened candidate uses only pclass age and sex as predictors
SRC-009,DualGCN cancer drug response,horsedayday/DualGCN/code/DualGCN.py,91e42e9000900f150efe5eb99945d26ec3661ca6,https://github.com/horsedayday/DualGCN/blob/91e42e9000900f150efe5eb99945d26ec3661ca6/code/DualGCN.py,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-008
SRC-010,Rock-versus-hip-hop classification capstone,Alshehri-Ahmad/Udacity-Machine-Learning-Nanodegree-Capstone/Code.ipynb,8365f9f2727cdb5e537a492081955e547b75d9a6,https://github.com/Alshehri-Ahmad/Udacity-Machine-Learning-Nanodegree-Capstone/blob/8365f9f2727cdb5e537a492081955e547b75d9a6/Code.ipynb,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-009
SRC-011,Cardiovascular Disease Classification,ChapaMchivi/Cardiovascular-Disease-Dataset/README.md,15e612a346cafe467ccd75959bea1b6eaac51d27,https://github.com/ChapaMchivi/Cardiovascular-Disease-Dataset/blob/15e612a346cafe467ccd75959bea1b6eaac51d27/README.md,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-010
SRC-012,DeepCDR cancer drug response,kimmo1019/DeepCDR/prog/run_DeepCDR.py,4dc5a901d580511335b9a54ffce9fb188f9f068d,https://github.com/kimmo1019/DeepCDR/blob/4dc5a901d580511335b9a54ffce9fb188f9f068d/prog/run_DeepCDR.py,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-011
SRC-013,DrugCell drug response,idekerlab/DrugCell/code/train_drugcell.py,c507e1d821fac0201e42f831a1d772e7ef42b00e,https://github.com/idekerlab/DrugCell/blob/c507e1d821fac0201e42f831a1d772e7ef42b00e/code/train_drugcell.py,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-012
SRC-014,MOLI multi-omics drug response,hosseinshn/MOLI/Cross validation/MOLI Complete/Erlotinib_cvSoftTripletClassifierNetv16_Script.py,c83d6d4c7e042ff4da7c7e3df0a7c8d030d37b8b,https://github.com/hosseinshn/MOLI/blob/c83d6d4c7e042ff4da7c7e3df0a7c8d030d37b8b/Cross%20validation/MOLI%20Complete/Erlotinib_cvSoftTripletClassifierNetv16_Script.py,2026-08-21T00:00:00Z,not-stated,verified_case,,MLA-013
