case_id,title,status,confidence,primary_mechanism,subtype,source_type,source_url,source_revision,reproduction_status,impact_basis,case_file
MLA-001,Flood predictor scales the holdout before splitting,verified,confirmed,preprocessing,scaling_before_split,github,https://github.com/Leohoji/kaggle-competition-flood-prediction-project/blob/f23fdc281550107525e955df817a21ab6451166a/flood_prediction.ipynb,f23fdc281550107525e955df817a21ab6451166a,static_verified,inferred,cases/MLA-001_flood_scaling_before_split.md
MLA-002,Academic-success project applies SMOTE before the holdout split,verified,confirmed,preprocessing,resampling_before_split,github,https://github.com/Osama-Abo-Bakr/ML-Classification-with-an-Academic-Success-Dataset/blob/0916d5c99870e2af4388bfb9936ee8fb6b6685bc/README.md,0916d5c99870e2af4388bfb9936ee8fb6b6685bc,static_verified,inferred,cases/MLA-002_academic_success_smote_before_split.md
MLA-003,Fraud project fits StandardScaler before the stratified split,verified,confirmed,preprocessing,scaling_before_split,github,https://github.com/DrushtiV/Credit-Card-Fraud-Detection-/blob/b58a38c4329f1ecf8dd07727114e5508d48f1696/README.md,b58a38c4329f1ecf8dd07727114e5508d48f1696,static_verified,inferred,cases/MLA-003_fraud_scaling_before_split.md
MLA-004,Loan-default project scales before creating its validation set,verified,confirmed,preprocessing,scaling_before_split,github,https://github.com/OleksiyM/Loan-Default-Predictor/blob/f795bddfb37d1bfb45bc12c0dc06fe4a6a0905e0/LoanDefaultPrediction_v4.ipynb,f795bddfb37d1bfb45bc12c0dc06fe4a6a0905e0,static_verified,inferred,cases/MLA-004_loan_default_scaling_before_split.md
MLA-005,Store-demand forecast uses a shuffled random holdout,verified,confirmed,temporal,random_time_split,github,https://github.com/jhihan/Store-Item-Demand-Forecasting-Challenge/blob/7b43f6e49f99443290cca4a53b97f01e280d0bd2/Store_Item_Demand_Forecasting.ipynb,7b43f6e49f99443290cca4a53b97f01e280d0bd2,static_verified,inferred,cases/MLA-005_store_demand_random_time_split.md
MLA-006,Titanic example predicts survival with lifeboat assignment,verified,confirmed,target,post_outcome_feature,github,https://github.com/vertica/VerticaPy/blob/05b2882a2a9c8389c4778c84c57077a503e8597a/README.md,05b2882a2a9c8389c4778c84c57077a503e8597a,static_verified,inferred,cases/MLA-006_titanic_lifeboat_target_leakage.md
MLA-007,COVID chest X-ray corpus contains duplicate and near-duplicate images,verified,confirmed,contamination,near_duplicate,github,https://github.com/govindjeevan/COVID-Chest-X-Ray/blob/99d3f749e32b321c5bcfa319a21e546f7c6e3598/README.md,99d3f749e32b321c5bcfa319a21e546f7c6e3598,static_verified,inferred,cases/MLA-007_covid_xray_duplicate_contamination.md
MLA-008,DualGCN uses its test partition for early stopping and checkpoint selection,verified,confirmed,evaluation,test_set_early_stopping,github,https://github.com/horsedayday/DualGCN/blob/91e42e9000900f150efe5eb99945d26ec3661ca6/code/DualGCN.py,91e42e9000900f150efe5eb99945d26ec3661ca6,static_verified,inferred,cases/MLA-008_dualgcn_test_set_early_stopping.md
MLA-009,Capstone project fits scaling and PCA before its holdout split,verified,confirmed,preprocessing,dimensionality_reduction_before_split,github,https://github.com/Alshehri-Ahmad/Udacity-Machine-Learning-Nanodegree-Capstone/blob/8365f9f2727cdb5e537a492081955e547b75d9a6/Code.ipynb,8365f9f2727cdb5e537a492081955e547b75d9a6,static_verified,inferred,cases/MLA-009_pca_before_split.md
MLA-010,Cardiovascular classifier scales the full dataset before splitting,verified,confirmed,preprocessing,scaling_before_split,github,https://github.com/ChapaMchivi/Cardiovascular-Disease-Dataset/blob/15e612a346cafe467ccd75959bea1b6eaac51d27/README.md,15e612a346cafe467ccd75959bea1b6eaac51d27,static_verified,inferred,cases/MLA-010_cardiovascular_scaling_before_split.md
MLA-011,DeepCDR uses its test partition for training-time model selection,verified,confirmed,evaluation,test_set_early_stopping,github,https://github.com/kimmo1019/DeepCDR/blob/4dc5a901d580511335b9a54ffce9fb188f9f068d/prog/run_DeepCDR.py,4dc5a901d580511335b9a54ffce9fb188f9f068d,static_verified,inferred,cases/MLA-011_deepcdr_test_set_early_stopping.md
MLA-012,DrugCell selects its best epoch from test-set correlation,verified,confirmed,evaluation,test_set_model_selection,github,https://github.com/idekerlab/DrugCell/blob/c507e1d821fac0201e42f831a1d772e7ef42b00e/code/train_drugcell.py,c507e1d821fac0201e42f831a1d772e7ef42b00e,static_verified,inferred,cases/MLA-012_drugcell_test_set_model_selection.md
MLA-013,MOLI fits variance-based feature selection before cross-validation,verified,confirmed,preprocessing,feature_selection_before_split,github,https://github.com/hosseinshn/MOLI/blob/c83d6d4c7e042ff4da7c7e3df0a7c8d030d37b8b/Cross%20validation/MOLI%20Complete/Erlotinib_cvSoftTripletClassifierNetv16_Script.py,c83d6d4c7e042ff4da7c7e3df0a7c8d030d37b8b,static_verified,inferred,cases/MLA-013_moli_feature_selection_before_cv.md
MLA-014,Stroke classifier learns the target from systematic missingness,verified,confirmed,target,missingness_proxy,paper,https://doi.org/10.1038/s41598-025-16660-8,doi:10.1038/s41598-025-16660-8,static_verified,source_measured,cases/MLA-014_stroke_missingness_target_proxy.md
MLA-015,Panel-data forecasting uses future periods and contemporaneous predictors,verified,confirmed,temporal,random_time_split,paper,https://arxiv.org/abs/2411.09218v2,arXiv:2411.09218v2,static_verified,source_measured,cases/MLA-015_panel_forecasting_temporal_leakage.md
MLA-016,OCT image splits place slices from the same subject in training and test,verified,confirmed,contamination,group_overlap,paper,https://doi.org/10.1038/s41597-022-01618-6,doi:10.1038/s41597-022-01618-6,static_verified,source_measured,cases/MLA-016_oct_subject_overlap.md
MLA-017,Connectome feature selection uses evaluation subjects before cross-validation,verified,confirmed,preprocessing,feature_selection_before_split,paper,https://doi.org/10.1038/s41467-024-46150-w,doi:10.1038/s41467-024-46150-w,static_verified,source_measured,cases/MLA-017_connectome_feature_selection_leakage.md
MLA-018,EEG augmentation sends segments from the same patient across folds,verified,confirmed,contamination,augmentation_overlap,paper,https://doi.org/10.1038/s41598-023-43542-8,doi:10.1038/s41598-023-43542-8,static_verified,source_measured,cases/MLA-018_eeg_augmentation_overlap.md
